category,headline,links,short_description,keywords,predicted_category
WELLNESS,Addicted to Food?,https://www.huffingtonpost.com/entry/food-addiction_us_5b9ce0e3e4b03a1dcc82a300,"If you look at our culture's eating behavior, it certainly looks like addiction. Any situation is an opportunity to eat. Once we've started eating we don't seem to know when to stop, even when we want to, even when we know we're hurting ourselves.",food-addiction,WELLNESS
WELLNESS,High Tech Works When It Enables High Touch,https://www.huffingtonpost.com/entry/high-tech-works-when-it-e_us_5b9dc30de4b03a1dcc8c9386,"François-Marie Arouet, 18th century French author and iconoclast, better known as Voltaire, quipped that, ""The art of medicine",high-tech-works-when-it-e,TRAVEL
WELLNESS,Conflict: 7 Decisions to Learn Instead of Fight,https://www.huffingtonpost.com/entry/conflict-resolution_us_5b9dccc4e4b03a1dcc8d0b4d,"If the other person never opens to caring conflict resolution, then you need to decide for yourself how to take loving care of yourself in the face of the unresolved conflict. This means accepting your helplessness over the other person and doing your own inner learning to discover what would be in your highest good.",conflict-resolution,WELLNESS
WELLNESS,The Case For Lifting Heavy (VIDEO),https://www.huffingtonpost.com/entry/heavy-lifting-video_us_5b9dc3b2e4b03a1dcc8c9d34,And the benefits are more than skin deep. Annie Tran turned to heavy lifting after a cycling accident left her with three,heavy-lifting-video,WELLNESS
WELLNESS,A Show of Kindness: Good Works? Whatever Works,https://www.huffingtonpost.com/entry/philanthropy_us_5b9d9cc0e4b03a1dcc8a3a39,"I once wrestled -- for about four minutes -- with the question of whether I should approach Hugh Hefner, through a close mutual friend, for a major contribution to the humanitarian nonprofit I was serving as CEO of.  Would I and my organization be forever tarnished by smut money?",philanthropy,BUSINESS
WELLNESS,Time to Sweep Up the Confetti and Start Saving Lives,https://www.huffingtonpost.com/entry/food-policy_us_5b9c7f2ce4b03a1dcc7f361e,"The Obama administration should use the next four years to pursue even more aggressive initiatives that make our food supply safer, our kids better protected from junk-food marketers, and our diets healthier",food-policy,WELLNESS
WELLNESS,Mysterious Illness at Le Roy School: Understanding Conversion Disorders,https://www.huffingtonpost.com/entry/le-roy-illness_us_5b9b471ae4b03a1dcc763c49,"Recently, the media has burst with stories about 15 teenagers in Le Roy, N.Y., where their tic-like symptoms and uncontrolled utterances have baffled local residents, school officials and families. The NYS Department of Health has been on the scene.",le-roy-illness,POLITICS
WELLNESS,At the Top of My Lungs: In Sickness and In Health,https://www.huffingtonpost.com/entry/living-with-cancer_us_5b9d974ee4b03a1dcc89e271,"My heart is full when I look at my beautiful, strong husband. My lifeline, my ballast, my all-purpose flotation device, helping me keep my head above water.",living-with-cancer,WELLNESS
WELLNESS,The Most Beautiful Places To Nap (PHOTOS),https://www.huffingtonpost.com/entry/places-to-take-a-nap_us_5b9d925be4b03a1dcc89a850,"For more GPS Guides, click here. Feeling uninspired? Some sleep may actually do you some good. Naps have numerous benefits",places-to-take-a-nap,WELLNESS
WELLNESS,Are Antibiotics Making Us Fat?,https://www.huffingtonpost.com/entry/antibiotics-health_us_5b9c7481e4b03a1dcc7ecd4b,"Cleanliness may be next to godliness, but it might also do us in.  A growing body of data suggests that a wide range of ills, from allergies and asthma to metabolic disease and superbugs, may be the consequence of our war on germs.",antibiotics-health,WELLNESS
WELLNESS,Fearless Children Can Inspire a Nation,https://www.huffingtonpost.com/entry/fearless-parenting_us_5b9c377ce4b03a1dcc7d2ae7,"I know that whether my children rise to dizzying heights or fall down flat on their road through life, I'll be right there cheering alongside them.",fearless-parenting,PARENTING
WELLNESS,Paper-Centered Care,https://www.huffingtonpost.com/entry/papercentered-care_us_5b9debc6e4b03a1dcc8ec9c5,"There is a lot of talk in health care today about ""patient-centered"" care.  Sadly, my recent experience with the health care system seems to show that we are more of a paper-centered system of care right now.",papercentered-care,WELLNESS
WELLNESS,Glenwood Gardens Case Provides a Teaching Moment: CPR Saves Lives,https://www.huffingtonpost.com/entry/glenwood-gardens-case_us_5b9ce387e4b03a1dcc82b8b9,Bystander intervention can mean the difference between life and death.,glenwood-gardens-case,WELLNESS
WELLNESS,Overcoming the Naysayers and Sabotagers on Your Fat Loss Journey,https://www.huffingtonpost.com/entry/weight-loss-tips_us_5b9d7e17e4b03a1dcc88aee2,"Dealing with these nuisances is rarely a laughing matter, but armed with these tactics (and deep breathing), you can minimize frustration and anger from these well-intended (okay, maybe not always) folks.",weight-loss-tips,WELLNESS
WELLNESS,Pesticides and Personal Care Products Pollute Our Environment,https://www.huffingtonpost.com/entry/natural-health_us_5b9b6823e4b03a1dcc774aa5,"The truth is that the more we know about health and about health care, the better the decisions we can make. Integrative medicine gives us new tools to consider in our quest for better living.",natural-health,WELLNESS
WELLNESS,"Woman, Deconstructed",https://www.huffingtonpost.com/entry/becoming-fearless_us_5b9c1830e4b03a1dcc7c4c1f,"Whatever challenges you may be experiencing, it's times like these when we can choose to either be destroyed by our fears or be willing to endure the temporary deconstruction of our parts, thus creating awareness and shifting our perceptions, in order to be whole again.",becoming-fearless,WELLNESS
WELLNESS,"TV, Computer Ownership Linked With Obesity And Diabetes In Low-Income Countries",https://www.huffingtonpost.com/entry/tv-computer-obesity-diabetes-low-income-countries_us_5b9ddb29e4b03a1dcc8dc8ed,"Owning TVs, computers and cars is associated with obesity and diabetes rates, at least in lower- and middle-income countries",tv-computer-obesity-diabetes-low-income-countries,WELLNESS
WELLNESS,I Lost Weight: Debbie Shafer Set Small Goals And Lost 97 Pounds,https://www.huffingtonpost.com/entry/i-lost-weight-debbie-shafer_us_5b9cd0ace4b03a1dcc821541,"For more on weight loss, click here. Breaking Point: My biggest motivation to lose weight was to become a better me before",i-lost-weight-debbie-shafer,WELLNESS
WELLNESS,Coca-Cola Makes You Thin?,https://www.huffingtonpost.com/entry/coca-cola-ad_us_5b9cbdb3e4b03a1dcc81635a,"You would think that half a century would be enough time for a company that brands itself as a nutritional innovator to keep up with the science, but in its new anti-obesity commercial, ""Coming Together,"" Coke continues avoiding the real issues of obesity.",coca-cola-ad,BUSINESS
WELLNESS,Psychological Impact Of Boston Terror Likely To Continue For Residents,https://www.huffingtonpost.com/entry/boston-bombing-psychological-impact_us_5b9d10bce4b03a1dcc843723,"That protection mode, said Diane Poole Heller, Ph.D., a trauma resolution expert, is a normal response to trauma, but can",boston-bombing-psychological-impact,WELLNESS
WELLNESS,Dane Kaohelani Silva On The Importance Of Aloha At HuffPost Hawaii's Third Metric Event (VIDEO),https://www.huffingtonpost.com/entry/dane-kaohelani-silva-third-metric_us_5b9d7da7e4b03a1dcc88aa31,"Among mainlanders, there's a common misconception that ""aloha"" translates simply to ""hello” or “goodbye.” But the word encompasses",dane-kaohelani-silva-third-metric,WELLNESS
WELLNESS,Practical Wisdom: The Right Way to Do the Right Thing,https://www.huffingtonpost.com/entry/post_us_5b9df2aee4b03a1dcc8f4fae,"Virtually all human beings, I believe, have the capacity for practical wisdom. And a society in which people thrive will be a society that nurtures practical wisdom and then allows people to deploy it.",post,WELLNESS
WELLNESS,Dealing With a Diagnostic Dilemma: What Would You Do?,https://www.huffingtonpost.com/entry/medical-diagnosis_us_5b9c8fd6e4b03a1dcc7fd3a5,"On Saturday, Dec. 1, I turn 55, and I pause at the irony of life bringing an uncertain diagnosis at this turning point. Have you had moments that you knew were turning points in self-discovery?",medical-diagnosis,WELLNESS
WELLNESS,"Anger Disorders, Inflammation May Be Linked",https://www.huffingtonpost.com/entry/inflammation-anger-disorders-intermittent-explosive-disorder_us_5b9dbabbe4b03a1dcc8c1ed6,Animal studies have shown that introducing similar inflammatory proteins into the brains of cats and mice increase their,inflammation-anger-disorders-intermittent-explosive-disorder,WELLNESS
WELLNESS,Be Fearless in This Post-9/11 World,https://www.huffingtonpost.com/entry/911-fear_us_5b9bf689e4b03a1dcc7b6a30,"To this day I see people professionally for fear related to terrorism. Even though it might not be in the news, it still lingers in the minds of many -- especially those in areas that are potentially vulnerable to an attack. Here are my fearless tips for dealing with such concerns.",911-fear,WELLNESS
WELLNESS,"Heart Attack Death Rate Higher In The South, Study Shows",https://www.huffingtonpost.com/entry/heart-attack-deaths-southern-states_us_5b9df319e4b03a1dcc8f595e,The study was presented at a meeting of the American College of Cardiology; because the findings have yet to be published,heart-attack-deaths-southern-states,WELLNESS
WELLNESS,Tighten Your Core With Ice Skater Gracie Gold's Oblique Exercise,https://www.huffingtonpost.com/entry/gracie-gold_us_5b9ddc40e4b03a1dcc8dd828,"To stay strong for all the show-stopping flips and balancing acts she does on ice, Gracie Gold focuses on her core in the gym. Her favorite do-anywhere move? Core rotations with a resistance band, which target her obliques.",gracie-gold,WELLNESS
WELLNESS,Creativity,https://www.huffingtonpost.com/entry/creativity_us_5b9dd1bee4b03a1dcc8d4956,"If you wish to change your personality or write the next Harry Potter series, think of the creativity involved to do so. Enhancing your creativity is not only essential for unmasking your hidden talents, but it's also pure simple fun!",creativity,WELLNESS
WELLNESS,The Best Workout Headphones Of 2013,https://www.huffingtonpost.com/entry/workout-headphones-review_us_5b9d7753e4b03a1dcc88556f,"Fit & Comfort: There's a little too much going on here. While I appreciate the small, medium and large buds, once the small",workout-headphones-review,WELLNESS
WELLNESS,I Used to Be Married,https://www.huffingtonpost.com/entry/living-with-parkinsons_us_5b9df426e4b03a1dcc8f6c31,"My husband was diagnosed with Parkinson's disease just after he turned 40. A talented long-distance runner and veteran of many first-place race finishes and successful marathons, he was an extremely athletic and healthy man. When his foot started to drag and a tremor found its way into his left arm and hand, I somehow knew he had this disease but had no idea just what the implications might be.",living-with-parkinsons,WELLNESS
WELLNESS,Reward Yourself and Volunteer!,https://www.huffingtonpost.com/entry/volunteer-to-bring-joy_us_5b9bfc45e4b03a1dcc7b911b,"The most stress-relieving and rewarding parts of my week occur when I volunteer at local hospitals.  These times allow me to get out of my own head, to put my own problems aside, and to be mindful of the present moment.",volunteer-to-bring-joy,WELLNESS
